model,environment,complexity,grammar,instruction_type,reward_type,average_success_rate,std_success_rate,random_agent_average_success_rate,random_agent_std_success_rate,evaluated_env
curriculum_step_cost,JD_perspire_Boundaries_567625.9990000001_1328280.001.z8,0.26-0.51,8,complete,step_cost,0.11,0.0,0.0,0.0,unseen
curriculum_step_cost,JD_perspire_Boundaries_567625.9990000001_1328280.001.z8,0.26-0.51,8,incomplete,step_cost,0.162,6.369,0.0,0.0,unseen
curriculum_step_cost,ZCI_arial_Approach1_545101.5_2554233.25.z8,0.51-0.76,8,complete,step_cost,0.822,35.6,0.0,0.0,unseen
curriculum_step_cost,LBP_arial_Approach2_527638.1391187396_2099094.3230607696.z8,0.51-0.76,8,complete,step_cost,0.821,35.551,0.0,0.0,unseen
curriculum_step_cost,LBP_arial_Approach2_527638.1391187396_2099094.3230607696.z8,0.51-0.76,8,incomplete,step_cost,0.196,6.844,0.0,0.0,unseen
curriculum_step_cost,FPJ_Average-Regular_Approach2_525120.0059757694_1212860.657907662.z8,0.76-1,8,complete,step_cost,0.555,44.5,0.0,0.0,unseen
curriculum_step_cost,FPJ_Average-Regular_Approach2_525120.0059757694_1212860.657907662.z8,0.76-1,8,incomplete,step_cost,0.231,1.814,0.0,0.0,unseen
curriculum_step_cost,DI_Average-Regular_Approach2_527422.9123931624_1142688.166239316.z8,0.51-0.76,8,complete,step_cost,1.0,0.0,0.0,0.0,unseen
curriculum_step_cost,DI_Average-Regular_Approach2_527422.9123931624_1142688.166239316.z8,0.51-0.76,8,incomplete,step_cost,0.24,0.0,0.0,0.0,unseen
curriculum_step_cost,XGU_Average-Regular_Approach1_547215.2395356442_1718367.1296961938.z8,0.51-0.76,8,complete,step_cost,0.911,26.7,0.0,0.0,unseen
curriculum_step_cost,XGU_Average-Regular_Approach1_547215.2395356442_1718367.1296961938.z8,0.51-0.76,8,incomplete,step_cost,0.24,0.0,0.0,0.0,unseen
curriculum_step_cost,DCJ_perspire_Boundaries_567103.001_1130680.001.z8,0.51-0.76,8,complete,step_cost,0.11,0.0,0.0,0.0,unseen
curriculum_step_cost,DCJ_perspire_Boundaries_567103.001_1130680.001.z8,0.51-0.76,8,incomplete,step_cost,0.162,6.369,0.0,0.0,unseen
curriculum_step_cost,GWG_Average-Regular_Approach2_530949.0_1259988.0.z8,0.76-1,8,complete,step_cost,0.911,26.7,0.0,0.0,unseen
curriculum_step_cost,GWG_Average-Regular_Approach2_530949.0_1259988.0.z8,0.76-1,8,incomplete,step_cost,0.186,6.216,0.0,0.0,unseen
curriculum_step_cost,GPS_Average-Regular_Approach2_527797.4164161287_1251333.701012468.z8,0.76-1,8,complete,step_cost,0.821,35.551,0.0,0.0,unseen
curriculum_step_cost,NWW_perspire_Approach2_505708.3333333333_1427632.6315789474.z8,0.26-0.51,8,complete,step_cost,1.0,0.0,0.0,0.0,unseen
curriculum_step_cost,U_perspire_Approach2_502763.3333333333_1556832.6315789474.z8,0-0.26,8,complete,step_cost,1.0,0.0,0.0,0.0,unseen
curriculum_step_cost,DJI_perspire_Boundaries_567103.001_1148480.001.z8,0.51-0.76,8,complete,step_cost,0.11,0.0,0.0,0.0,unseen
curriculum_step_cost,DJI_perspire_Boundaries_567103.001_1148480.001.z8,0.51-0.76,8,incomplete,step_cost,0.162,6.369,0.0,0.0,unseen
curriculum_step_cost,XT_arial_Approach1_545363.0_2531400.0.z8,0.51-0.76,8,complete,step_cost,1.0,0.0,0.0,0.0,unseen
curriculum_step_cost,XT_arial_Approach1_545363.0_2531400.0.z8,0.51-0.76,8,incomplete,step_cost,0.201,5.957,0.0,0.0,unseen
curriculum_step_cost,UJ_Average-Regular_Approach2_525077.0_1583514.0.z8,0.51-0.76,8,complete,step_cost,1.0,0.0,0.0,0.0,unseen
curriculum_step_cost,EL_Average-Regular_Approach2_527742.0_1179125.0.z8,0.51-0.76,8,complete,step_cost,0.732,40.721,0.0,0.0,unseen
curriculum_step_cost,TSM_Average-Regular_Approach2_525108.7512146088_1548825.2932652035.z8,0.76-1,8,complete,step_cost,0.999,0.3,0.0,0.0,unseen
curriculum_step_cost,TSM_Average-Regular_Approach2_525108.7512146088_1548825.2932652035.z8,0.76-1,8,incomplete,step_cost,0.24,0.0,0.0,0.0,unseen
curriculum_step_cost,HI_Average-Regular_Approach2_527064.7758286778_1263294.0.z8,0.51-0.76,6,complete,step_cost,0.466,43.601,0.0,0.0,seen
curriculum_step_cost,HI_Average-Regular_Approach2_527064.7758286778_1263294.0.z8,0.51-0.76,6,incomplete,step_cost,0.175,6.5,0.0,0.0,seen
curriculum_step_cost,B_Average-Regular_Approach1_545111.0_1062824.0.z8,0.51-0.76,6,complete,step_cost,0.911,26.7,0.0,0.0,seen
curriculum_step_cost,B_Average-Regular_Approach1_545111.0_1062824.0.z8,0.51-0.76,6,incomplete,step_cost,0.24,0.0,0.0,0.0,seen
curriculum_step_cost,ZGC_Average-Regular_Approach1_545153.9763877091_1771510.7893767639.z8,0.76-1,6,complete,step_cost,0.555,44.5,0.0,0.0,seen
curriculum_step_cost,ZGC_Average-Regular_Approach1_545153.9763877091_1771510.7893767639.z8,0.76-1,6,incomplete,step_cost,0.187,6.294,0.0,0.0,seen
curriculum_step_cost,KIW_Average-Regular_Approach1_546260.0_1366824.0.z8,0.76-1,6,complete,step_cost,0.911,26.7,0.0,0.0,seen
curriculum_step_cost,KIW_Average-Regular_Approach1_546260.0_1366824.0.z8,0.76-1,6,incomplete,step_cost,0.214,5.2,0.0,0.0,seen
curriculum_step_cost,JCD_Average-Regular_Approach1_547524.3349056605_1331096.278301887.z8,0.51-0.76,6,complete,step_cost,1.0,0.0,0.0,0.0,seen
curriculum_step_cost,CRK_Average-Regular_Approach1_549281.0_1106372.0.z8,0.76-1,6,complete,step_cost,0.999,0.3,0.0,0.0,seen
curriculum_step_cost,CRK_Average-Regular_Approach1_549281.0_1106372.0.z8,0.76-1,6,incomplete,step_cost,0.234,0.917,0.0,0.0,seen
curriculum_step_cost,IP_arial_Approach2_525753.0_2026037.3333333335.z8,0.26-0.51,6,complete,step_cost,0.999,0.3,0.0,0.0,seen
curriculum_step_cost,CBS_Average-Regular_Approach1_546832.3784065933_1092279.5.z8,0.51-0.76,6,complete,step_cost,0.911,26.7,0.0,0.0,seen
curriculum_step_cost,ETC_perspire_Approach2_500320.0_1195620.0.z8,0-0.26,6,complete,step_cost,1.0,0.0,0.0,0.0,seen
curriculum_step_cost,ETC_perspire_Approach2_500320.0_1195620.0.z8,0-0.26,6,incomplete,step_cost,0.24,0.0,0.0,0.0,seen
curriculum_step_cost,BEV_Average-Regular_Approach1_547933.6927655565_1066661.104115366.z8,0.76-1,6,complete,step_cost,0.82,35.502,0.0,0.0,seen
curriculum_step_cost,A_Average-Regular_Approach2_525768.0_999991.0.z8,0.51-0.76,6,complete,step_cost,0.911,26.7,0.0,0.0,seen
curriculum_step_cost,BO_Average-Regular_Approach1_546697.093434728_1077862.5473172662.z8,0.51-0.76,6,complete,step_cost,0.822,35.6,0.0,0.0,seen
curriculum_step_cost,BO_Average-Regular_Approach1_546697.093434728_1077862.5473172662.z8,0.51-0.76,6,incomplete,step_cost,0.173,6.325,0.0,0.0,seen
curriculum_step_cost,AEY_Average-Regular_Approach1_546472.9076679603_1012256.9294065498.z8,0.51-0.76,6,complete,step_cost,0.822,35.6,0.0,0.0,seen
curriculum_step_cost,AEY_Average-Regular_Approach1_546472.9076679603_1012256.9294065498.z8,0.51-0.76,6,incomplete,step_cost,0.227,3.9,0.0,0.0,seen
curriculum_step_cost,VNM_Average-Regular_Approach1_546015.6294029708_1657533.519746642.z8,0.76-1,6,complete,step_cost,1.0,0.0,0.0,0.0,seen
curriculum_step_cost,WW_Average-Regular_Approach1_546610.6666666666_1708853.5364495006.z8,0.76-1,6,complete,step_cost,1.0,0.0,0.0,0.0,seen
curriculum_step_cost,WW_Average-Regular_Approach1_546610.6666666666_1708853.5364495006.z8,0.76-1,6,incomplete,step_cost,0.225,3.879,0.0,0.0,seen
curriculum_step_cost,CUH_Average-Regular_Approach1_548197.6381731405_1114581.6465456714.z8,0.76-1,6,complete,step_cost,0.911,26.7,0.0,0.0,seen
curriculum_step_cost,CUH_Average-Regular_Approach1_548197.6381731405_1114581.6465456714.z8,0.76-1,6,incomplete,step_cost,0.24,0.0,0.0,0.0,seen
curriculum_step_cost,MMK_arial_Approach1_545263.125_2189438.620689655.z8,0.51-0.76,6,complete,step_cost,1.0,0.0,0.0,0.0,seen
curriculum_step_cost,ARV_Average-Regular_Approach1_547077.0340263674_1030550.9709598336.z8,0.76-1,6,complete,step_cost,0.733,40.785,0.0,0.0,seen
curriculum_step_cost,ARV_Average-Regular_Approach1_547077.0340263674_1030550.9709598336.z8,0.76-1,6,incomplete,step_cost,0.214,5.2,0.0,0.0,seen
curriculum_step_cost,KIW_arial_Approach1_546979.5536306141_2152807.8868319127.z8,0.51-0.76,6,complete,step_cost,0.911,26.7,0.0,0.0,seen
curriculum_step_cost,KIW_arial_Approach1_546979.5536306141_2152807.8868319127.z8,0.51-0.76,6,incomplete,step_cost,0.214,5.2,0.0,0.0,seen
curriculum_step_cost,AW_Average-Regular_Approach1_546535.0_1036314.0.z8,0.76-1,6,complete,step_cost,1.0,0.0,0.0,0.0,seen
curriculum_step_cost,AW_Average-Regular_Approach1_546535.0_1036314.0.z8,0.76-1,6,incomplete,step_cost,0.234,1.2,0.0,0.0,seen
curriculum_step_cost,SVY_Average-Regular_Approach2_528244.1730804583_1513859.7005024818.z8,0.76-1,6,complete,step_cost,0.996,0.49,0.0,0.0,unseen
curriculum_step_cost,MP_Average-Regular_Approach2_526898.0_1395280.0.z8,0.26-0.51,6,complete,step_cost,0.288,35.6,0.0,0.0,unseen
curriculum_step_cost,MP_Average-Regular_Approach2_526898.0_1395280.0.z8,0.26-0.51,6,incomplete,step_cost,0.24,0.0,0.0,0.0,unseen
curriculum_step_cost,VNM_arial_Approach1_547016.125_2444038.260869565.z8,0.51-0.76,6,complete,step_cost,1.0,0.0,0.0,0.0,unseen
curriculum_step_cost,VNM_arial_Approach1_547016.125_2444038.260869565.z8,0.51-0.76,6,incomplete,step_cost,0.24,0.0,0.0,0.0,unseen
curriculum_step_cost,IC_Average-Regular_Approach2_527236.4335374576_1289313.877935378.z8,0.51-0.76,6,complete,step_cost,0.555,44.5,0.0,0.0,unseen
curriculum_step_cost,JD_perspire_Boundaries_567625.9990000001_1328280.001.z8,0.26-0.51,6,complete,step_cost,0.11,0.0,0.0,0.0,unseen
curriculum_step_cost,JD_perspire_Boundaries_567625.9990000001_1328280.001.z8,0.26-0.51,6,incomplete,step_cost,0.175,6.5,0.0,0.0,unseen
curriculum_step_cost,ZCI_arial_Approach1_545101.5_2554233.25.z8,0.51-0.76,6,complete,step_cost,0.911,26.7,0.0,0.0,unseen
curriculum_step_cost,LBP_arial_Approach2_527638.1391187396_2099094.3230607696.z8,0.51-0.76,6,complete,step_cost,0.822,35.6,0.0,0.0,unseen
curriculum_step_cost,LBP_arial_Approach2_527638.1391187396_2099094.3230607696.z8,0.51-0.76,6,incomplete,step_cost,0.227,3.9,0.0,0.0,unseen
curriculum_step_cost,FPJ_Average-Regular_Approach2_525120.0059757694_1212860.657907662.z8,0.76-1,6,complete,step_cost,0.733,40.785,0.0,0.0,unseen
curriculum_step_cost,FPJ_Average-Regular_Approach2_525120.0059757694_1212860.657907662.z8,0.76-1,6,incomplete,step_cost,0.24,0.0,0.0,0.0,unseen
curriculum_step_cost,DI_Average-Regular_Approach2_527422.9123931624_1142688.166239316.z8,0.51-0.76,6,complete,step_cost,1.0,0.0,0.0,0.0,unseen
curriculum_step_cost,DI_Average-Regular_Approach2_527422.9123931624_1142688.166239316.z8,0.51-0.76,6,incomplete,step_cost,0.24,0.0,0.0,0.0,unseen
curriculum_step_cost,XGU_Average-Regular_Approach1_547215.2395356442_1718367.1296961938.z8,0.51-0.76,6,complete,step_cost,0.911,26.7,0.0,0.0,unseen
curriculum_step_cost,DCJ_perspire_Boundaries_567103.001_1130680.001.z8,0.51-0.76,6,complete,step_cost,0.11,0.0,0.0,0.0,unseen
curriculum_step_cost,DCJ_perspire_Boundaries_567103.001_1130680.001.z8,0.51-0.76,6,incomplete,step_cost,0.201,5.957,0.0,0.0,unseen
curriculum_step_cost,GWG_Average-Regular_Approach2_530949.0_1259988.0.z8,0.76-1,6,complete,step_cost,0.821,35.551,0.0,0.0,unseen
curriculum_step_cost,GWG_Average-Regular_Approach2_530949.0_1259988.0.z8,0.76-1,6,incomplete,step_cost,0.178,5.582,0.0,0.0,unseen
curriculum_step_cost,GPS_Average-Regular_Approach2_527797.4164161287_1251333.701012468.z8,0.76-1,6,complete,step_cost,0.91,26.668,0.0,0.0,unseen
curriculum_step_cost,GPS_Average-Regular_Approach2_527797.4164161287_1251333.701012468.z8,0.76-1,6,incomplete,step_cost,0.24,0.0,0.0,0.0,unseen
curriculum_step_cost,NWW_perspire_Approach2_505708.3333333333_1427632.6315789474.z8,0.26-0.51,6,complete,step_cost,0.911,26.7,0.0,0.0,unseen
curriculum_step_cost,NWW_perspire_Approach2_505708.3333333333_1427632.6315789474.z8,0.26-0.51,6,incomplete,step_cost,0.24,0.0,0.0,0.0,unseen
curriculum_step_cost,U_perspire_Approach2_502763.3333333333_1556832.6315789474.z8,0-0.26,6,complete,step_cost,1.0,0.0,0.0,0.0,unseen
curriculum_step_cost,DJI_perspire_Boundaries_567103.001_1148480.001.z8,0.51-0.76,6,complete,step_cost,0.11,0.0,0.0,0.0,unseen
curriculum_step_cost,DJI_perspire_Boundaries_567103.001_1148480.001.z8,0.51-0.76,6,incomplete,step_cost,0.17,6.164,0.0,0.0,unseen
curriculum_step_cost,XT_arial_Approach1_545363.0_2531400.0.z8,0.51-0.76,6,complete,step_cost,0.999,0.3,0.0,0.0,unseen
curriculum_step_cost,XT_arial_Approach1_545363.0_2531400.0.z8,0.51-0.76,6,incomplete,step_cost,0.24,0.0,0.0,0.0,unseen
curriculum_step_cost,UJ_Average-Regular_Approach2_525077.0_1583514.0.z8,0.51-0.76,6,complete,step_cost,1.0,0.0,0.0,0.0,unseen
curriculum_step_cost,EL_Average-Regular_Approach2_527742.0_1179125.0.z8,0.51-0.76,6,complete,step_cost,0.465,43.479,0.0,0.0,unseen
curriculum_step_cost,TSM_Average-Regular_Approach2_525108.7512146088_1548825.2932652035.z8,0.76-1,6,complete,step_cost,0.464,43.562,0.0,0.0,unseen
curriculum_step_cost,HI_Average-Regular_Approach2_527064.7758286778_1263294.0.z8,0.51-0.76,4,complete,step_cost,0.911,26.7,0.0,0.0,seen
curriculum_step_cost,HI_Average-Regular_Approach2_527064.7758286778_1263294.0.z8,0.51-0.76,4,incomplete,step_cost,0.24,0.0,0.0,0.0,seen
curriculum_step_cost,B_Average-Regular_Approach1_545111.0_1062824.0.z8,0.51-0.76,4,complete,step_cost,0.733,40.785,0.0,0.0,seen
curriculum_step_cost,B_Average-Regular_Approach1_545111.0_1062824.0.z8,0.51-0.76,4,incomplete,step_cost,0.24,0.0,0.0,0.0,seen
curriculum_step_cost,ZGC_Average-Regular_Approach1_545153.9763877091_1771510.7893767639.z8,0.76-1,4,complete,step_cost,0.822,35.6,0.0,0.0,seen
curriculum_step_cost,ZGC_Average-Regular_Approach1_545153.9763877091_1771510.7893767639.z8,0.76-1,4,incomplete,step_cost,0.188,6.369,0.0,0.0,seen
curriculum_step_cost,KIW_Average-Regular_Approach1_546260.0_1366824.0.z8,0.76-1,4,complete,step_cost,0.822,35.6,0.0,0.0,seen
curriculum_step_cost,KIW_Average-Regular_Approach1_546260.0_1366824.0.z8,0.76-1,4,incomplete,step_cost,0.24,0.0,0.0,0.0,seen
curriculum_step_cost,JCD_Average-Regular_Approach1_547524.3349056605_1331096.278301887.z8,0.51-0.76,4,complete,step_cost,0.911,26.7,0.0,0.0,seen
curriculum_step_cost,CRK_Average-Regular_Approach1_549281.0_1106372.0.z8,0.76-1,4,complete,step_cost,1.0,0.0,0.0,0.0,seen
curriculum_step_cost,CRK_Average-Regular_Approach1_549281.0_1106372.0.z8,0.76-1,4,incomplete,step_cost,0.201,5.957,0.0,0.0,seen
curriculum_step_cost,IP_arial_Approach2_525753.0_2026037.3333333335.z8,0.26-0.51,4,complete,step_cost,0.997,0.458,0.0,0.0,seen
curriculum_step_cost,CBS_Average-Regular_Approach1_546832.3784065933_1092279.5.z8,0.51-0.76,4,complete,step_cost,0.907,27.9,0.0,0.0,seen
curriculum_step_cost,CBS_Average-Regular_Approach1_546832.3784065933_1092279.5.z8,0.51-0.76,4,incomplete,step_cost,0.214,5.2,0.0,0.0,seen
curriculum_step_cost,ETC_perspire_Approach2_500320.0_1195620.0.z8,0-0.26,4,complete,step_cost,1.0,0.0,0.0,0.0,seen
curriculum_step_cost,ETC_perspire_Approach2_500320.0_1195620.0.z8,0-0.26,4,incomplete,step_cost,0.175,6.5,0.0,0.0,seen
curriculum_step_cost,BEV_Average-Regular_Approach1_547933.6927655565_1066661.104115366.z8,0.76-1,4,complete,step_cost,0.733,40.785,0.0,0.0,seen
curriculum_step_cost,BEV_Average-Regular_Approach1_547933.6927655565_1066661.104115366.z8,0.76-1,4,incomplete,step_cost,0.214,5.2,0.0,0.0,seen
curriculum_step_cost,A_Average-Regular_Approach2_525768.0_999991.0.z8,0.51-0.76,4,complete,step_cost,0.911,26.7,0.0,0.0,seen
curriculum_step_cost,A_Average-Regular_Approach2_525768.0_999991.0.z8,0.51-0.76,4,incomplete,step_cost,0.24,0.0,0.0,0.0,seen
curriculum_step_cost,BO_Average-Regular_Approach1_546697.093434728_1077862.5473172662.z8,0.51-0.76,4,complete,step_cost,0.819,35.453,0.0,0.0,seen
curriculum_step_cost,AEY_Average-Regular_Approach1_546472.9076679603_1012256.9294065498.z8,0.51-0.76,4,complete,step_cost,1.0,0.0,0.0,0.0,seen
curriculum_step_cost,AEY_Average-Regular_Approach1_546472.9076679603_1012256.9294065498.z8,0.51-0.76,4,incomplete,step_cost,0.24,0.0,0.0,0.0,seen
curriculum_step_cost,VNM_Average-Regular_Approach1_546015.6294029708_1657533.519746642.z8,0.76-1,4,complete,step_cost,0.911,26.7,0.0,0.0,seen
curriculum_step_cost,VNM_Average-Regular_Approach1_546015.6294029708_1657533.519746642.z8,0.76-1,4,incomplete,step_cost,0.24,0.0,0.05,0.218,seen
curriculum_step_cost,WW_Average-Regular_Approach1_546610.6666666666_1708853.5364495006.z8,0.76-1,4,complete,step_cost,1.0,0.0,0.0,0.0,seen
curriculum_step_cost,WW_Average-Regular_Approach1_546610.6666666666_1708853.5364495006.z8,0.76-1,4,incomplete,step_cost,0.188,6.369,0.0,0.0,seen
curriculum_step_cost,CUH_Average-Regular_Approach1_548197.6381731405_1114581.6465456714.z8,0.76-1,4,complete,step_cost,0.911,26.7,0.0,0.0,seen
curriculum_step_cost,CUH_Average-Regular_Approach1_548197.6381731405_1114581.6465456714.z8,0.76-1,4,incomplete,step_cost,0.24,0.0,0.0,0.0,seen
curriculum_step_cost,MMK_arial_Approach1_545263.125_2189438.620689655.z8,0.51-0.76,4,complete,step_cost,0.911,26.7,0.0,0.0,seen
curriculum_step_cost,MMK_arial_Approach1_545263.125_2189438.620689655.z8,0.51-0.76,4,incomplete,step_cost,0.24,0.0,0.0,0.0,seen
curriculum_step_cost,ARV_Average-Regular_Approach1_547077.0340263674_1030550.9709598336.z8,0.76-1,4,complete,step_cost,0.822,35.6,0.0,0.0,seen
curriculum_step_cost,ARV_Average-Regular_Approach1_547077.0340263674_1030550.9709598336.z8,0.76-1,4,incomplete,step_cost,0.214,5.2,0.0,0.0,seen
curriculum_step_cost,KIW_arial_Approach1_546979.5536306141_2152807.8868319127.z8,0.51-0.76,4,complete,step_cost,1.0,0.0,0.0,0.0,seen
curriculum_step_cost,KIW_arial_Approach1_546979.5536306141_2152807.8868319127.z8,0.51-0.76,4,incomplete,step_cost,0.227,3.9,0.0,0.0,seen
curriculum_step_cost,AW_Average-Regular_Approach1_546535.0_1036314.0.z8,0.76-1,4,complete,step_cost,1.0,0.0,0.0,0.0,seen
curriculum_step_cost,SVY_Average-Regular_Approach2_528244.1730804583_1513859.7005024818.z8,0.76-1,4,complete,step_cost,1.0,0.0,0.0,0.0,unseen
curriculum_step_cost,MP_Average-Regular_Approach2_526898.0_1395280.0.z8,0.26-0.51,4,complete,step_cost,0.643,43.52,0.0,0.0,unseen
curriculum_step_cost,MP_Average-Regular_Approach2_526898.0_1395280.0.z8,0.26-0.51,4,incomplete,step_cost,0.24,0.0,0.0,0.0,unseen
curriculum_step_cost,VNM_arial_Approach1_547016.125_2444038.260869565.z8,0.51-0.76,4,complete,step_cost,0.822,35.6,0.0,0.0,unseen
curriculum_step_cost,VNM_arial_Approach1_547016.125_2444038.260869565.z8,0.51-0.76,4,incomplete,step_cost,0.24,0.0,0.0,0.0,unseen
curriculum_step_cost,IC_Average-Regular_Approach2_527236.4335374576_1289313.877935378.z8,0.51-0.76,4,complete,step_cost,0.553,44.301,0.0,0.0,unseen
curriculum_step_cost,IC_Average-Regular_Approach2_527236.4335374576_1289313.877935378.z8,0.51-0.76,4,incomplete,step_cost,0.123,3.9,0.0,0.0,unseen
curriculum_step_cost,JD_perspire_Boundaries_567625.9990000001_1328280.001.z8,0.26-0.51,4,complete,step_cost,0.11,0.0,0.0,0.0,unseen
curriculum_step_cost,JD_perspire_Boundaries_567625.9990000001_1328280.001.z8,0.26-0.51,4,incomplete,step_cost,0.178,5.845,0.0,0.0,unseen
curriculum_step_cost,ZCI_arial_Approach1_545101.5_2554233.25.z8,0.51-0.76,4,complete,step_cost,0.731,40.874,0.0,0.0,unseen
curriculum_step_cost,ZCI_arial_Approach1_545101.5_2554233.25.z8,0.51-0.76,4,incomplete,step_cost,0.24,0.0,0.0,0.0,unseen
curriculum_step_cost,LBP_arial_Approach2_527638.1391187396_2099094.3230607696.z8,0.51-0.76,4,complete,step_cost,0.732,40.721,0.0,0.0,unseen
curriculum_step_cost,LBP_arial_Approach2_527638.1391187396_2099094.3230607696.z8,0.51-0.76,4,incomplete,step_cost,0.24,0.0,0.0,0.0,unseen
curriculum_step_cost,FPJ_Average-Regular_Approach2_525120.0059757694_1212860.657907662.z8,0.76-1,4,complete,step_cost,0.644,43.601,0.0,0.0,unseen
curriculum_step_cost,FPJ_Average-Regular_Approach2_525120.0059757694_1212860.657907662.z8,0.76-1,4,incomplete,step_cost,0.188,6.369,0.0,0.0,unseen
curriculum_step_cost,DI_Average-Regular_Approach2_527422.9123931624_1142688.166239316.z8,0.51-0.76,4,complete,step_cost,1.0,0.0,0.0,0.0,unseen
curriculum_step_cost,XGU_Average-Regular_Approach1_547215.2395356442_1718367.1296961938.z8,0.51-0.76,4,complete,step_cost,0.733,40.785,0.0,0.0,unseen
curriculum_step_cost,DCJ_perspire_Boundaries_567103.001_1130680.001.z8,0.51-0.76,4,complete,step_cost,0.11,0.0,0.0,0.0,unseen
curriculum_step_cost,DCJ_perspire_Boundaries_567103.001_1130680.001.z8,0.51-0.76,4,incomplete,step_cost,0.157,6.929,0.0,0.0,unseen
curriculum_step_cost,GWG_Average-Regular_Approach2_530949.0_1259988.0.z8,0.76-1,4,complete,step_cost,0.821,35.551,0.0,0.0,unseen
curriculum_step_cost,GWG_Average-Regular_Approach2_530949.0_1259988.0.z8,0.76-1,4,incomplete,step_cost,0.24,0.0,0.0,0.0,unseen
curriculum_step_cost,GPS_Average-Regular_Approach2_527797.4164161287_1251333.701012468.z8,0.76-1,4,complete,step_cost,0.998,0.6,0.0,0.0,unseen
curriculum_step_cost,NWW_perspire_Approach2_505708.3333333333_1427632.6315789474.z8,0.26-0.51,4,complete,step_cost,0.733,40.785,0.0,0.0,unseen
curriculum_step_cost,NWW_perspire_Approach2_505708.3333333333_1427632.6315789474.z8,0.26-0.51,4,incomplete,step_cost,0.24,0.0,0.0,0.0,unseen
curriculum_step_cost,U_perspire_Approach2_502763.3333333333_1556832.6315789474.z8,0-0.26,4,complete,step_cost,1.0,0.0,0.0,0.0,unseen
curriculum_step_cost,DJI_perspire_Boundaries_567103.001_1148480.001.z8,0.51-0.76,4,complete,step_cost,0.11,0.0,0.0,0.0,unseen
curriculum_step_cost,DJI_perspire_Boundaries_567103.001_1148480.001.z8,0.51-0.76,4,incomplete,step_cost,0.196,5.817,0.0,0.0,unseen
curriculum_step_cost,XT_arial_Approach1_545363.0_2531400.0.z8,0.51-0.76,4,complete,step_cost,1.0,0.0,0.0,0.0,unseen
curriculum_step_cost,XT_arial_Approach1_545363.0_2531400.0.z8,0.51-0.76,4,incomplete,step_cost,0.24,0.0,0.0,0.0,unseen
curriculum_step_cost,UJ_Average-Regular_Approach2_525077.0_1583514.0.z8,0.51-0.76,4,complete,step_cost,1.0,0.0,0.0,0.0,unseen
curriculum_step_cost,EL_Average-Regular_Approach2_527742.0_1179125.0.z8,0.51-0.76,4,complete,step_cost,0.732,40.721,0.0,0.0,unseen
curriculum_step_cost,EL_Average-Regular_Approach2_527742.0_1179125.0.z8,0.51-0.76,4,incomplete,step_cost,0.123,3.9,0.0,0.0,unseen
curriculum_step_cost,TSM_Average-Regular_Approach2_525108.7512146088_1548825.2932652035.z8,0.76-1,4,complete,step_cost,0.642,43.644,0.0,0.0,unseen
